iter	Passed	Remaining
575	777	609
576	780	608
577	781	607
578	782	605
579	783	604
580	785	602
581	786	600
582	787	599
583	789	598
584	790	596
585	792	595
586	793	593
587	795	592
588	796	590
589	797	588
590	798	587
591	799	585
592	800	583
593	801	582
594	802	580
595	804	579
596	805	577
597	806	575
598	807	574
599	808	572
600	809	570
601	810	569
602	811	567
603	813	565
604	814	564
605	815	562
606	816	560
607	817	559
608	818	557
609	819	555
610	820	554
611	821	552
612	822	550
613	824	549
614	825	547
615	827	546
616	828	545
617	829	543
618	830	542
619	831	540
620	832	538
621	833	536
622	834	535
623	836	533
624	837	532
625	838	530
626	840	529
627	841	527
628	842	526
629	843	524
630	844	523
631	845	521
632	846	519
633	847	518
634	849	516
635	849	514
636	850	513
637	851	511
638	853	510
639	855	509
640	856	507
641	857	505
642	858	504
643	859	502
644	861	501
645	861	499
646	862	497
647	864	496
648	864	496
649	864	496
650	865	492
651	866	490
652	867	488
653	868	487
654	869	485
655	870	484
656	871	482
657	872	480
658	873	479
659	875	478
660	877	476
661	877	476
662	878	473
663	879	471
664	879	471
665	879	471
666	880	467
667	881	466
668	883	464
669	885	463
670	887	462
671	888	461
672	889	459
673	891	458
674	892	456
675	893	455
676	894	453
677	895	451
678	896	450
679	897	448
680	899	447
681	900	446
682	901	444
683	902	442
684	903	441
685	904	439
686	906	438
687	907	436
688	908	435
689	909	433
690	910	432
691	912	431
692	913	429
693	914	427
694	915	426
695	916	424
696	917	423
697	918	421
698	920	420
699	921	418
700	922	417
701	923	415
702	925	414
703	926	413
704	928	411
705	929	410
706	931	409
707	932	407
708	933	406
709	934	404
710	936	403
711	937	401
712	938	400
713	940	398
714	941	397
715	942	395
716	943	394
717	944	392
718	945	391
719	946	389
720	948	388
721	948	388
722	950	385
723	951	384
724	952	382
725	953	381
726	954	379
727	955	378
728	956	376
729	957	375
730	959	373
731	960	372
732	961	371
733	962	369
734	964	368
735	965	366
736	966	365
737	967	363
738	968	362
739	969	360
740	969	360
741	970	357
742	972	356
743	973	354
744	974	353
745	974	353
746	975	350
747	976	349
748	977	347
749	978	346
750	979	344
751	980	343
752	982	341
753	983	340
754	985	339
755	986	337
756	987	336
757	988	334
758	989	333
759	991	331
760	991	330
761	992	328
762	994	327
763	995	325
764	996	324
765	998	323
766	999	321
767	1000	320
768	1001	318
769	1002	317
770	1003	315
771	1004	314
772	1005	312
773	1006	311
774	1007	309
775	1008	308
776	1010	306
777	1011	305
778	1012	304
779	1013	302
780	1014	301
781	1014	301
782	1015	298
783	1016	296
784	1016	296
785	1018	294
786	1018	294
787	1019	291
788	1021	289
789	1022	288
790	1022	286
791	1023	285
792	1024	283
793	1026	282
794	1027	281
795	1027	281
796	1028	278
797	1029	276
798	1031	275
799	1032	274
800	1033	272
801	1034	271
802	1035	269
803	1036	268
804	1037	266
805	1038	265
806	1039	263
807	1040	262
808	1042	261
809	1043	259
810	1043	259
811	1044	257
812	1045	255
813	1045	255
814	1046	252
815	1047	251
816	1048	249
817	1049	248
818	1050	247
819	1052	245
820	1053	244
821	1055	243
822	1056	241
823	1057	240
824	1058	238
825	1059	237
826	1060	235
827	1061	234
828	1062	232
829	1063	231
830	1064	230
831	1066	228
832	1068	227
833	1068	227
834	1069	224
835	1069	224
836	1070	221
837	1070	221
838	1071	219
839	1072	217
840	1073	216
841	1075	215
842	1076	213
843	1077	212
844	1078	210
845	1079	209
846	1080	207
847	1081	206
848	1082	205
849	1083	203
850	1084	202
851	1084	202
852	1086	199
853	1087	198
854	1089	196
855	1089	195
856	1091	194
857	1092	192
858	1093	191
859	1094	189
860	1095	188
861	1096	186
862	1097	185
863	1098	184
864	1099	182
865	1101	181
866	1102	180
867	1103	178
868	1104	177
869	1105	175
870	1106	174
871	1107	173
872	1108	171
873	1109	170
874	1111	169
875	1113	167
876	1114	166
877	1115	165
878	1116	163
879	1117	162
880	1118	160
881	1120	159
882	1121	158
883	1122	156
884	1123	155
885	1124	153
886	1125	152
887	1127	151
888	1128	149
889	1129	148
890	1130	147
891	1131	145
892	1132	144
893	1133	142
894	1134	141
895	1135	140
896	1136	138
897	1138	137
898	1139	136
899	1141	134
900	1141	134
901	1142	132
902	1144	130
903	1145	129
904	1146	128
905	1146	128
906	1146	128
907	1147	123
908	1149	122
909	1150	121
910	1151	119
911	1152	118
912	1153	117
913	1154	115
914	1155	114
915	1156	112
916	1157	111
917	1158	110
918	1159	108
919	1161	107
920	1162	106
921	1162	106
922	1163	103
923	1164	102
924	1165	100
925	1166	99
926	1167	97
927	1168	96
928	1169	95
929	1171	93
930	1172	92
931	1173	91
932	1174	89
933	1176	88
934	1176	87
935	1177	85
936	1179	84
937	1180	83
938	1180	81
939	1182	80
940	1182	80
941	1183	77
942	1183	77
943	1184	74
944	1185	73
945	1186	72
946	1187	70
947	1188	69
948	1189	68
949	1190	66
950	1191	65
951	1193	64
952	1194	62
953	1196	61
954	1196	61
955	1197	58
956	1198	57
957	1200	56
958	1200	54
959	1201	53
960	1202	52
961	1204	50
962	1205	49
963	1206	48
964	1208	46
965	1209	45
966	1210	44
967	1211	42
968	1212	41
969	1213	39
970	1214	38
971	1215	37
972	1216	35
973	1217	34
974	1219	33
975	1220	31
976	1220	31
977	1221	29
978	1222	27
979	1223	26
980	1224	25
981	1225	23
982	1226	22
983	1227	21
984	1229	19
985	1230	18
986	1231	17
987	1233	15
988	1234	14
989	1235	13
990	1236	11
991	1237	10
992	1238	9
993	1239	7
994	1240	6
995	1241	5
996	1242	3
997	1242	3
998	1244	1
999	1245	0
