iter	RMSE
0	0.3795123695
1	0.3695678002
2	0.3595925604
3	0.3502441594
4	0.3417247965
5	0.333378853
6	0.3252186104
7	0.317249663
8	0.3095539424
9	0.3021145349
10	0.2952575251
11	0.2876293201
12	0.2807046861
13	0.2740682565
14	0.267588517
15	0.2619046066
16	0.2555618524
17	0.2502432776
18	0.2452776596
19	0.2404699175
20	0.2356363757
21	0.2308001646
22	0.2259410587
23	0.2217140603
24	0.2173484574
25	0.2131008458
26	0.2091448828
27	0.2056624605
28	0.2019383902
29	0.1987841484
30	0.1954774465
31	0.1920484869
32	0.1888956189
33	0.1862023376
34	0.1833036821
35	0.1806165785
36	0.1783357509
37	0.1756552118
38	0.1734934345
39	0.1711328099
40	0.1687698841
41	0.1666304028
42	0.1644255771
43	0.1625524472
44	0.1606382749
45	0.1586685067
46	0.1569432979
47	0.1554630936
48	0.1537628817
49	0.1521026982
50	0.1504321977
51	0.1491081611
52	0.147755699
53	0.1463420925
54	0.1448545582
55	0.1435341614
56	0.1423478168
57	0.1410849393
58	0.1398715572
59	0.1389508941
60	0.1380563222
61	0.1370824243
62	0.1360282457
63	0.1349596066
64	0.134090872
65	0.1330369386
66	0.1320245329
67	0.1311479809
68	0.1304112434
69	0.1295904195
70	0.1286763841
71	0.127970259
72	0.1272183755
73	0.1264740857
74	0.1255953775
75	0.1249236057
76	0.1243077997
77	0.1237208459
78	0.1230943444
79	0.1224127551
80	0.1217879051
81	0.1212745091
82	0.1207050955
83	0.1201977414
84	0.119642221
85	0.1191254238
86	0.1186598947
87	0.1181655151
88	0.11769925
89	0.117223903
90	0.1168541178
91	0.1164838953
92	0.1160148255
93	0.1155837398
94	0.1151530336
95	0.1147326156
96	0.1143066703
97	0.1138426017
98	0.1134263884
99	0.1130203049
100	0.1126116011
101	0.1122096791
102	0.1118422002
103	0.1115418934
104	0.1113473657
105	0.1110737754
106	0.1108255342
107	0.1105035373
108	0.1101454669
109	0.1098090121
110	0.1093770256
111	0.108996213
112	0.1086646873
113	0.108436721
114	0.1080651057
115	0.1077620964
116	0.1074809517
117	0.1070898985
118	0.1068609168
119	0.1064248326
120	0.1060753372
121	0.105710725
122	0.1054261511
123	0.1051961254
124	0.104867645
125	0.104624201
126	0.1043635899
127	0.1040953406
128	0.1038203638
129	0.1036070533
130	0.1033588585
131	0.1030244339
132	0.102791804
133	0.1025750375
134	0.1022428639
135	0.1020682366
136	0.1018982769
137	0.1016829096
138	0.1014350536
139	0.1012307821
140	0.101064333
141	0.1007711931
142	0.1006829951
143	0.100382741
